"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"BatteryTest1","121.000","12.200","7.500","999.90"
"BatteryTest1","122.000","12.200","7.500","999.90"
"BatteryTest1","123.000","12.200","7.500","999.90"
"BatteryTest1","124.000","12.203","7.500","999.90"
"BatteryTest1","125.000","12.203","7.500","999.90"
"BatteryTest1","126.000","12.203","7.500","999.90"
"BatteryTest1","127.000","12.203","7.500","999.90"
"BatteryTest1","128.000","12.207","7.500","999.90"
"BatteryTest1","129.000","12.207","7.500","999.90"
"BatteryTest1","130.000","12.207","7.500","999.90"
"BatteryTest1","131.000","12.207","7.500","999.90"
"BatteryTest1","132.000","12.207","7.500","999.90"
"BatteryTest1","133.000","12.207","7.500","999.90"
"BatteryTest1","134.000","12.207","7.500","999.90"
"BatteryTest1","135.000","12.207","7.500","999.90"
"BatteryTest1","136.000","12.207","7.500","999.90"
"BatteryTest1","137.000","12.207","7.500","999.90"
"BatteryTest1","138.000","12.207","7.500","999.90"
"BatteryTest1","139.000","12.207","7.500","999.90"
"BatteryTest1","140.000","12.207","7.500","999.90"
"BatteryTest1","141.000","12.207","7.500","999.90"
"BatteryTest1","142.000","12.207","7.500","999.90"
"BatteryTest1","143.000","12.207","7.500","999.90"
"BatteryTest1","144.000","12.207","7.500","999.90"
"BatteryTest1","145.000","12.207","7.500","999.90"
"BatteryTest1","146.000","12.207","7.500","999.90"
"BatteryTest1","147.000","12.207","7.500","999.90"
"BatteryTest1","148.000","12.207","7.500","999.90"
"BatteryTest1","149.000","12.207","7.500","999.90"
"BatteryTest1","150.000","12.207","7.500","999.90"
"BatteryTest1","151.000","12.207","7.500","999.90"
"BatteryTest1","152.000","12.207","7.500","999.90"
"BatteryTest1","153.000","12.207","7.500","999.90"
"BatteryTest1","154.000","12.207","7.500","999.90"
"BatteryTest1","155.000","12.207","7.500","999.90"
"BatteryTest1","156.000","12.207","7.500","999.90"
"BatteryTest1","157.000","12.207","7.500","999.90"
"BatteryTest1","158.000","12.207","7.500","999.90"
"BatteryTest1","159.000","12.207","7.500","999.90"
"BatteryTest1","160.000","12.207","7.500","999.90"
"BatteryTest1","161.000","12.207","7.500","999.90"
"BatteryTest1","162.000","12.207","7.500","999.90"
"BatteryTest1","163.000","12.207","7.500","999.90"
"BatteryTest1","164.000","12.207","7.500","999.90"
"BatteryTest1","165.000","12.207","7.500","999.90"
"BatteryTest1","166.000","12.207","7.500","999.90"
"BatteryTest1","167.000","12.207","7.500","999.90"
"BatteryTest1","168.000","12.207","7.500","999.90"
"BatteryTest1","169.000","12.207","7.500","999.90"
"BatteryTest1","170.000","12.207","7.500","999.90"
"BatteryTest1","171.000","12.207","7.500","999.90"
"BatteryTest1","172.000","12.207","7.500","999.90"
"BatteryTest1","173.000","12.211","7.500","999.90"
"BatteryTest1","174.000","12.211","7.500","999.90"
"BatteryTest1","175.000","12.211","7.500","999.90"
"BatteryTest1","176.000","12.211","7.500","999.90"
"BatteryTest1","177.000","12.211","7.500","999.90"
"BatteryTest1","178.000","12.211","7.500","999.90"
"BatteryTest1","179.000","12.211","7.500","999.90"
"BatteryTest1","180.000","12.211","7.500","999.90"
"BatteryTest1","181.000","12.211","7.500","999.90"
"BatteryTest1","182.000","12.215","7.500","999.90"
"BatteryTest1","183.000","12.215","7.500","999.90"
"BatteryTest1","184.000","12.211","7.500","999.90"
"BatteryTest1","185.000","12.215","7.500","999.90"
"BatteryTest1","186.000","12.211","7.500","999.90"
"BatteryTest1","187.000","12.215","7.500","999.90"
"BatteryTest1","188.000","12.215","7.500","999.90"
"BatteryTest1","189.000","12.215","7.500","999.90"
"BatteryTest1","190.000","12.211","7.500","999.90"
"BatteryTest1","191.000","12.215","7.500","999.90"
"BatteryTest1","192.000","12.215","7.500","999.90"
"BatteryTest1","193.000","12.215","7.500","999.90"
"BatteryTest1","194.000","12.215","7.500","999.90"
"BatteryTest1","195.000","12.215","7.500","999.90"
"BatteryTest1","196.000","12.215","7.500","999.90"
"BatteryTest1","197.000","12.215","7.500","999.90"
"BatteryTest1","198.000","12.215","7.500","999.90"
"BatteryTest1","199.000","12.215","7.500","999.90"
"BatteryTest1","200.000","12.215","7.500","999.90"
"BatteryTest1","201.000","12.215","7.500","999.90"
"BatteryTest1","202.000","12.215","7.500","999.90"
"BatteryTest1","203.000","12.215","7.500","999.90"
"BatteryTest1","204.000","12.215","7.500","999.90"
"BatteryTest1","205.000","12.215","7.500","999.90"
"BatteryTest1","206.000","12.215","7.500","999.90"
"BatteryTest1","207.000","12.215","7.500","999.90"
"BatteryTest1","208.000","12.215","7.500","999.90"
"BatteryTest1","209.000","12.215","7.500","999.90"
"BatteryTest1","210.000","12.215","7.500","999.90"
"BatteryTest1","211.000","12.211","7.500","999.90"
"BatteryTest1","212.000","12.215","7.500","999.90"
"BatteryTest1","213.000","12.215","7.500","999.90"
"BatteryTest1","214.000","12.215","7.500","999.90"
"BatteryTest1","215.000","12.215","7.500","999.90"
"BatteryTest1","216.000","12.215","7.500","999.90"
"BatteryTest1","217.000","12.215","7.500","999.90"
"BatteryTest1","218.000","12.215","7.500","999.90"
"BatteryTest1","219.000","12.215","7.500","999.90"
"BatteryTest1","220.000","12.215","7.500","999.90"
"BatteryTest1","221.000","12.215","7.500","999.90"
"BatteryTest1","222.000","12.215","7.500","999.90"
"BatteryTest1","223.000","12.215","7.500","999.90"
"BatteryTest1","224.000","12.215","7.500","999.90"
"BatteryTest1","225.000","12.215","7.500","999.90"
"BatteryTest1","226.000","12.215","7.500","999.90"
"BatteryTest1","227.000","12.215","7.500","999.90"
"BatteryTest1","228.000","12.215","7.500","999.90"
"BatteryTest1","229.000","12.215","7.500","999.90"
"BatteryTest1","230.000","12.215","7.500","999.90"
"BatteryTest1","231.000","12.215","7.500","999.90"
"BatteryTest1","232.000","12.215","7.500","999.90"
