"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Test_1","137.000","12.231","7.500","999.90"
"Test_1","138.000","12.243","7.500","999.90"
"Test_1","139.000","12.270","7.500","999.90"
"Test_1","140.000","12.274","7.500","999.90"
"Test_1","141.000","12.266","7.500","999.90"
"Test_1","142.000","12.270","7.500","999.90"
"Test_1","143.000","12.282","7.500","999.90"
"Test_1","144.000","12.290","7.500","999.90"
"Test_1","145.000","12.282","7.500","999.90"
"Test_1","146.000","12.282","7.500","999.90"
"Test_1","147.000","12.282","7.500","999.90"
"Test_1","148.000","12.282","7.500","999.90"
"Test_1","149.000","12.286","7.500","999.90"
"Test_1","150.000","12.290","7.500","999.90"
"Test_1","151.000","12.286","7.500","999.90"
"Test_1","152.000","12.294","7.500","999.90"
"Test_1","153.000","12.294","7.500","999.90"
"Test_1","154.000","12.302","7.500","999.90"
"Test_1","155.000","12.302","7.500","999.90"
"Test_1","156.000","12.302","7.500","999.90"
"Test_1","157.000","12.302","7.500","999.90"
"Test_1","158.000","12.302","7.500","999.90"
"Test_1","159.000","12.306","7.500","999.90"
"Test_1","160.000","12.309","7.500","999.90"
"Test_1","161.000","12.309","7.500","999.90"
"Test_1","162.000","12.317","7.500","999.90"
"Test_1","163.000","12.317","7.500","999.90"
"Test_1","164.000","12.317","7.500","999.90"
"Test_1","165.000","12.321","7.500","999.90"
"Test_1","166.000","12.321","7.500","999.90"
"Test_1","167.000","12.325","7.500","999.90"
"Test_1","168.000","12.325","7.500","999.90"
"Test_1","169.000","12.325","7.500","999.90"
"Test_1","170.000","12.325","7.500","999.90"
"Test_1","171.000","12.329","7.500","999.90"
"Test_1","172.000","12.329","7.500","999.90"
"Test_1","173.000","12.325","7.500","999.90"
"Test_1","174.000","12.325","7.500","999.90"
"Test_1","175.000","12.329","7.500","999.90"
"Test_1","176.000","12.325","7.500","999.90"
"Test_1","177.000","12.329","7.500","999.90"
"Test_1","178.000","12.333","7.500","999.90"
"Test_1","179.000","12.333","7.500","999.90"
"Test_1","180.000","12.333","7.500","999.90"
"Test_1","181.000","12.337","7.500","999.90"
"Test_1","182.000","12.333","7.500","999.90"
"Test_1","183.000","12.337","7.500","999.90"
"Test_1","184.000","12.337","7.500","999.90"
"Test_1","185.000","12.337","7.500","999.90"
"Test_1","186.000","12.337","7.500","999.90"
"Test_1","187.000","12.337","7.500","999.90"
"Test_1","188.000","12.341","7.500","999.90"
"Test_1","189.000","12.341","7.500","999.90"
"Test_1","190.000","12.341","7.500","999.90"
"Test_1","191.000","12.341","7.500","999.90"
"Test_1","192.000","12.341","7.500","999.90"
"Test_1","193.000","12.337","7.500","999.90"
"Test_1","194.000","12.341","7.500","999.90"
"Test_1","195.000","12.341","7.500","999.90"
"Test_1","196.000","12.341","7.500","999.90"
"Test_1","197.000","12.341","7.500","999.90"
"Test_1","198.000","12.341","7.500","999.90"
"Test_1","199.000","12.341","7.500","999.90"
"Test_1","200.000","12.341","7.500","999.90"
"Test_1","201.000","12.341","7.500","999.90"
"Test_1","202.000","12.341","7.500","999.90"
"Test_1","203.000","12.341","7.500","999.90"
"Test_1","204.000","12.341","7.500","999.90"
"Test_1","205.000","12.341","7.500","999.90"
"Test_1","206.000","12.341","7.500","999.90"
"Test_1","207.000","12.341","7.500","999.90"
"Test_1","208.000","12.341","7.500","999.90"
"Test_1","209.000","12.341","7.500","999.90"
"Test_1","210.000","12.341","7.500","999.90"
"Test_1","211.000","12.341","7.500","999.90"
"Test_1","212.000","12.341","7.500","999.90"
"Test_1","213.000","12.341","7.500","999.90"
"Test_1","214.000","12.341","7.500","999.90"
"Test_1","215.000","12.341","7.500","999.90"
"Test_1","216.000","12.341","7.500","999.90"
"Test_1","217.000","12.341","7.500","999.90"
"Test_1","218.000","12.345","7.500","999.90"
"Test_1","219.000","12.345","7.500","999.90"
"Test_1","220.000","12.345","7.500","999.90"
"Test_1","221.000","12.345","7.500","999.90"
"Test_1","222.000","12.345","7.500","999.90"
"Test_1","223.000","12.345","7.500","999.90"
"Test_1","224.000","12.345","7.500","999.90"
"Test_1","225.000","12.345","7.500","999.90"
"Test_1","226.000","12.345","7.500","999.90"
"Test_1","227.000","12.345","7.500","999.90"
"Test_1","228.000","12.349","7.500","999.90"
"Test_1","229.000","12.349","7.500","999.90"
"Test_1","230.000","12.349","7.500","999.90"
"Test_1","231.000","12.349","7.500","999.90"
"Test_1","232.000","12.349","7.500","999.90"
"Test_1","233.000","12.349","7.500","999.90"
"Test_1","234.000","12.349","7.500","999.90"
"Test_1","235.000","12.349","7.500","999.90"
"Test_1","236.000","12.349","7.500","999.90"
"Test_1","237.000","12.349","7.500","999.90"
"Test_1","238.000","12.349","7.500","999.90"
"Test_1","239.000","12.349","7.500","999.90"
"Test_1","240.000","12.349","7.500","999.90"
"Test_1","241.000","12.349","7.500","999.90"
"Test_1","242.000","12.353","7.500","999.90"
"Test_1","243.000","12.357","7.500","999.90"
"Test_1","244.000","12.353","7.500","999.90"
"Test_1","245.000","12.353","7.500","999.90"
"Test_1","246.000","12.353","7.500","999.90"
"Test_1","247.000","12.353","7.500","999.90"
"Test_1","248.000","12.353","7.500","999.90"
"Test_1","249.000","12.357","7.500","999.90"
"Test_1","250.000","12.357","7.500","999.90"
"Test_1","251.000","12.357","7.500","999.90"
"Test_1","252.000","12.357","7.500","999.90"
"Test_1","253.000","12.357","7.500","999.90"
"Test_1","254.000","12.357","7.500","999.90"
"Test_1","255.000","12.357","7.500","999.90"
"Test_1","256.000","12.357","7.500","999.90"
"Test_1","257.000","12.357","7.500","999.90"
"Test_1","258.000","12.357","7.500","999.90"
"Test_1","259.000","12.357","7.500","999.90"
"Test_1","260.000","12.357","7.500","999.90"
"Test_1","261.000","12.357","7.500","999.90"
"Test_1","262.000","12.357","7.500","999.90"
"Test_1","263.000","12.357","7.500","999.90"
"Test_1","264.000","12.357","7.500","999.90"
"Test_1","265.000","12.357","7.500","999.90"
"Test_1","266.000","12.357","7.500","999.90"
"Test_1","267.000","12.357","7.500","999.90"
"Test_1","268.000","12.357","7.500","999.90"
"Test_1","269.000","12.357","7.500","999.90"
"Test_1","270.000","12.357","7.500","999.90"
"Test_1","271.000","12.357","7.500","999.90"
"Test_1","272.000","12.357","7.500","999.90"
"Test_1","273.000","12.357","7.500","999.90"
"Test_1","274.000","12.357","7.500","999.90"
"Test_1","275.000","12.357","7.500","999.90"
"Test_1","276.000","12.357","7.500","999.90"
"Test_1","277.000","12.357","7.500","999.90"
"Test_1","278.000","12.357","7.500","999.90"
"Test_1","279.000","12.357","7.500","999.90"
"Test_1","280.000","12.357","7.500","999.90"
"Test_1","281.000","12.357","7.500","999.90"
"Test_1","282.000","12.357","7.500","999.90"
"Test_1","283.000","12.357","7.500","999.90"
"Test_1","284.000","12.357","7.500","999.90"
"Test_1","285.000","12.357","7.500","999.90"
"Test_1","286.000","12.357","7.500","999.90"
"Test_1","287.000","12.357","7.500","999.90"
"Test_1","288.000","12.357","7.500","999.90"
"Test_1","289.000","12.357","7.500","999.90"
"Test_1","290.000","12.361","7.500","999.90"
"Test_1","291.000","12.357","7.500","999.90"
"Test_1","292.000","12.357","7.500","999.90"
"Test_1","293.000","12.357","7.500","999.90"
"Test_1","294.000","12.361","7.500","999.90"
"Test_1","295.000","12.357","7.500","999.90"
"Test_1","296.000","12.357","7.500","999.90"
"Test_1","297.000","12.361","7.500","999.90"
"Test_1","298.000","12.361","7.500","999.90"
"Test_1","299.000","12.361","7.500","999.90"
"Test_1","300.000","12.364","7.500","999.90"
"Test_1","301.000","12.361","7.500","999.90"
"Test_1","302.000","12.361","7.500","999.90"
"Test_1","303.000","12.364","7.500","999.90"
"Test_1","304.000","12.364","7.500","999.90"
"Test_1","305.000","12.364","7.500","999.90"
"Test_1","306.000","12.364","7.500","999.90"
"Test_1","307.000","12.364","7.500","999.90"
"Test_1","308.000","12.364","7.500","999.90"
"Test_1","309.000","12.364","7.500","999.90"
"Test_1","310.000","12.364","7.500","999.90"
"Test_1","311.000","12.364","7.500","999.90"
"Test_1","312.000","12.364","7.500","999.90"
"Test_1","313.000","12.364","7.500","999.90"
"Test_1","314.000","12.364","7.500","999.90"
"Test_1","315.000","12.364","7.500","999.90"
"Test_1","316.000","12.364","7.500","999.90"
"Test_1","317.000","12.364","7.500","999.90"
"Test_1","318.000","12.364","7.500","999.90"
"Test_1","319.000","12.364","7.500","999.90"
"Test_1","320.000","12.364","7.500","999.90"
"Test_1","321.000","12.364","7.500","999.90"
"Test_1","322.000","12.364","7.500","999.90"
"Test_1","323.000","12.364","7.500","999.90"
"Test_1","324.000","12.364","7.500","999.90"
"Test_1","325.000","12.364","7.500","999.90"
